name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id,created_at,updated_at
Penny Singleton,Blondie,1938,1,Blondie,movie,Acting,0,34178,2022-09-03 16:34:14,2022-09-03 16:34:14
Arthur Lake,Dagwood,1938,1,Blondie,movie,Acting,1,34179,2022-09-03 16:34:14,2022-09-03 16:34:14
Larry Simms,Baby Dumpling,1938,1,Blondie,movie,Acting,2,30223,2022-09-03 16:34:14,2022-09-03 16:34:14
Daisy,Daisy,1938,1,Blondie,movie,Acting,3,34214,2022-09-03 16:34:14,2022-09-03 16:34:14
Ann Doran,Elsie Hazlip,1938,1,Blondie,movie,Acting,4,2772,2022-09-03 16:34:14,2022-09-03 16:34:14
Dorothy Moore,Dorothy,1938,1,Blondie,movie,Acting,5,34183,2022-09-03 16:34:14,2022-09-03 16:34:14
Gene Lockhart,C.P. Hazlip,1938,1,Blondie,movie,Acting,6,30234,2022-09-03 16:34:14,2022-09-03 16:34:14
Jonathan Hale,Mr. Dithers,1938,1,Blondie,movie,Acting,7,12502,2022-09-03 16:34:14,2022-09-03 16:34:14
Gordon Oliver,Chester Franey,1938,1,Blondie,movie,Acting,8,34180,2022-09-03 16:34:14,2022-09-03 16:34:14
Danny Mummert,Alvin,1938,1,Blondie,movie,Acting,9,34181,2022-09-03 16:34:14,2022-09-03 16:34:14
Kathleen Lockhart,Mrs. Miller,1938,1,Blondie,movie,Acting,10,34182,2022-09-03 16:34:14,2022-09-03 16:34:14
Willie Best,Porter,1938,1,Blondie,movie,Acting,11,34185,2022-09-03 16:34:14,2022-09-03 16:34:14
Ian Wolfe,Judge,1938,1,Blondie,movie,Acting,12,2782,2022-09-03 16:34:14,2022-09-03 16:34:14
Eugene Anderson Jr,Newsboy (uncredited),1938,1,Blondie,movie,Acting,13,1292673,2022-09-03 16:34:14,2022-09-03 16:34:14
Stanley Andrews,Mr. Hicks (uncredited),1938,1,Blondie,movie,Acting,14,34505,2022-09-03 16:34:14,2022-09-03 16:34:14
Hooper Atchley,Man on Bus (uncredited),1938,1,Blondie,movie,Acting,15,121097,2022-09-03 16:34:14,2022-09-03 16:34:14
Stanley Brown,S.W. Carey Salesman (uncredited),1938,1,Blondie,movie,Acting,16,34241,2022-09-03 16:34:14,2022-09-03 16:34:14
Mary Jane Carey,Mary (uncredited),1938,1,Blondie,movie,Acting,17,1173491,2022-09-03 16:34:14,2022-09-03 16:34:14
Dick Curtis,Daily Gazette Reporter (uncredited),1938,1,Blondie,movie,Acting,18,153638,2022-09-03 16:34:14,2022-09-03 16:34:14
Edgar Dearing,Policeman at Hotel (uncredited),1938,1,Blondie,movie,Acting,19,1240252,2022-09-03 16:34:14,2022-09-03 16:34:14
Richard Fiske,Nelson (uncredited),1938,1,Blondie,movie,Acting,20,34243,2022-09-03 16:34:14,2022-09-03 16:34:14
James Flavin,Policeman in Accident Car (uncredited),1938,1,Blondie,movie,Acting,21,3262,2022-09-03 16:34:14,2022-09-03 16:34:14
Fay Helm,Mrs. Fuddle (uncredited),1938,1,Blondie,movie,Acting,22,34184,2022-09-03 16:34:14,2022-09-03 16:34:14
George Humbert,Pie Salesman (uncredited),1938,1,Blondie,movie,Acting,23,106091,2022-09-03 16:34:14,2022-09-03 16:34:14
Bud Jamison,Repossessor (uncredited),1938,1,Blondie,movie,Acting,24,89615,2022-09-03 16:34:14,2022-09-03 16:34:14
Charles Lane,Furniture Salesman (uncredited),1938,1,Blondie,movie,Acting,25,29579,2022-09-03 16:34:14,2022-09-03 16:34:14
Harold Minjir,Mr. Phillips (uncredited),1938,1,Blondie,movie,Acting,26,1005423,2022-09-03 16:34:14,2022-09-03 16:34:14
David Newell,First Draftsman (uncredited),1938,1,Blondie,movie,Acting,27,942165,2022-09-03 16:34:14,2022-09-03 16:34:14
Emory Parnell,Police Desk Sergeant (uncredited),1938,1,Blondie,movie,Acting,28,124875,2022-09-03 16:34:14,2022-09-03 16:34:14
John Rand,Gardener (uncredited),1938,1,Blondie,movie,Acting,29,21310,2022-09-03 16:34:14,2022-09-03 16:34:14
Bruce Sidney,Detective at Hotel (uncredited),1938,1,Blondie,movie,Acting,30,1420879,2022-09-03 16:34:14,2022-09-03 16:34:14
Walter Soderling,Mr. Morgan (uncredited),1938,1,Blondie,movie,Acting,31,34270,2022-09-03 16:34:14,2022-09-03 16:34:14
Larry Steers,Assistant Hotel Clerk (uncredited),1938,1,Blondie,movie,Acting,32,135827,2022-09-03 16:34:14,2022-09-03 16:34:14
Josephine Whittell,Woman Seeing Optometrist (uncredited),1938,1,Blondie,movie,Acting,33,99376,2022-09-03 16:34:14,2022-09-03 16:34:14
