name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Frank R. Strayer,1938,1,Blondie,movie,Directing,Director,34170,2022-09-03 16:34:14,2022-09-03 16:34:14
Richard Flournoy,1938,1,Blondie,movie,Writing,Screenplay,34171,2022-09-03 16:34:14,2022-09-03 16:34:14
Robert Liebmann,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,2902,2022-09-03 16:34:14,2022-09-03 16:34:14
Frederik Fuglsang,1921,2,Der Mann ohne Namen,movie,Camera,Director of Photography,29032,2022-09-03 16:34:14,2022-09-03 16:34:14
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Writing,Screenplay,48035,2022-09-03 16:34:14,2022-09-03 16:34:14
Georg Jacoby,1921,2,Der Mann ohne Namen,movie,Directing,Director,48035,2022-09-03 16:34:14,2022-09-03 16:34:14
François Truffaut,1962,3,L'amour à vingt ans,movie,Directing,Director,1650,2022-09-03 16:34:14,2022-09-03 16:34:14
François Truffaut,1962,3,L'amour à vingt ans,movie,Writing,Writer,1650,2022-09-03 16:34:14,2022-09-03 16:34:14
Gérard Brach,1962,3,L'amour à vingt ans,movie,Directing,Assistant Director,2356,2022-09-03 16:34:14,2022-09-03 16:34:14
Andrzej Wajda,1962,3,L'amour à vingt ans,movie,Directing,Director,2801,2022-09-03 16:34:14,2022-09-03 16:34:14
Georges Delerue,1962,3,L'amour à vingt ans,movie,Sound,Music,3535,2022-09-03 16:34:14,2022-09-03 16:34:14
Pierre Roustang,1962,3,L'amour à vingt ans,movie,Production,Producer,3539,2022-09-03 16:34:14,2022-09-03 16:34:14
Raoul Coutard,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,3540,2022-09-03 16:34:14,2022-09-03 16:34:14
Suzanne Schiffman,1962,3,L'amour à vingt ans,movie,Directing,Script Supervisor,3583,2022-09-03 16:34:14,2022-09-03 16:34:14
Barbara Pec-Ślesicka,1962,3,L'amour à vingt ans,movie,Production,Production Manager,7103,2022-09-03 16:34:14,2022-09-03 16:34:14
Claudine Bouché,1962,3,L'amour à vingt ans,movie,Editing,Editor,18223,2022-09-03 16:34:14,2022-09-03 16:34:14
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Directing,Director,19789,2022-09-03 16:34:14,2022-09-03 16:34:14
Marcel Ophüls,1962,3,L'amour à vingt ans,movie,Writing,Writer,19789,2022-09-03 16:34:14,2022-09-03 16:34:14
Charles L. Bitsch,1962,3,L'amour à vingt ans,movie,Camera,Assistant Camera,25059,2022-09-03 16:34:14,2022-09-03 16:34:14
Guy Villette,1962,3,L'amour à vingt ans,movie,Sound,Sound Engineer,26357,2022-09-03 16:34:14,2022-09-03 16:34:14
Mario Montuori,1962,3,L'amour à vingt ans,movie,Camera,Director of Photography,31854,2022-09-03 16:34:14,2022-09-03 16:34:14
