name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Pauli Pentti,1988,6,Ariel,movie,Directing,Assistant Director,1034489,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Ukkonen,1988,6,Ariel,movie,Production,Location Manager,1084612,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja-Leena Hukkanen,1988,6,Ariel,movie,Camera,Still Photographer,1303969,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja-Leena Hukkanen,1988,6,Ariel,movie,Directing,Script Supervisor,1303969,2022-09-03 17:01:12,2022-09-03 17:01:12
Mikko Mattila,1988,6,Ariel,movie,Lighting,Gaffer,1381112,2022-09-03 17:01:12,2022-09-03 17:01:12
Olli Varja,1988,6,Ariel,movie,Lighting,Gaffer,1381113,2022-09-03 17:01:12,2022-09-03 17:01:12
Olavi Virta,1988,6,Ariel,movie,Sound,Music,1403857,2022-09-03 17:01:12,2022-09-03 17:01:12
Sirkka Rautiainen,1988,6,Ariel,movie,Costume & Make-Up,Costume Assistant,1416993,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Ortamo,1988,6,Ariel,movie,Camera,Assistant Camera,1540906,2022-09-03 17:01:12,2022-09-03 17:01:12
Seppo Saarinen,1988,6,Ariel,movie,Crew,Carpenter,1666626,2022-09-03 17:01:12,2022-09-03 17:01:12
Outi Hyytinen,1988,6,Ariel,movie,Editing,Assistant Editor,1674075,2022-09-03 17:01:12,2022-09-03 17:01:12
Kjell Westman,1988,6,Ariel,movie,Sound,Sound Re-Recording Mixer,1683985,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Markko,1988,6,Ariel,movie,Camera,Assistant Camera,1750241,2022-09-03 17:01:12,2022-09-03 17:01:12
Erkki Astala,1988,6,Ariel,movie,Production,Publicist,1760644,2022-09-03 17:01:12,2022-09-03 17:01:12
Leena Palmu,1988,6,Ariel,movie,Editing,Negative Cutter,1761904,2022-09-03 17:01:12,2022-09-03 17:01:12
Erkki Lume,1988,6,Ariel,movie,Production,Location Manager,1940249,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Nousiainen,1988,6,Ariel,movie,Editing,Colorist,2159272,2022-09-03 17:01:12,2022-09-03 17:01:12
Haije Alanoja,1988,6,Ariel,movie,Production,Production Secretary,2159274,2022-09-03 17:01:12,2022-09-03 17:01:12
Simo Sulva,1988,6,Ariel,movie,Art,Property Master,2505429,2022-09-03 17:01:12,2022-09-03 17:01:12
Taisto Tammi,1988,6,Ariel,movie,Sound,Music,2509155,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Anttila,1988,6,Ariel,movie,Crew,Carpenter,3416563,2022-09-03 17:01:12,2022-09-03 17:01:12
