name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id,created_at,updated_at
Jean-François Adam,"Albert Tazzi (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Acting,5,3538,2022-09-03 17:01:12,2022-09-03 17:01:12
Pierre Schaeffer,"Himself (segment ""Antoine et Colette"")",1962,3,L'amour à vingt ans,movie,Sound,6,1003228,2022-09-03 17:01:12,2022-09-03 17:01:12
Cristina Gaïoni,Christina,1962,3,L'amour à vingt ans,movie,Acting,7,237623,2022-09-03 17:01:12,2022-09-03 17:01:12
Geronimo Meynier,Leonardo,1962,3,L'amour à vingt ans,movie,Acting,8,1003229,2022-09-03 17:01:12,2022-09-03 17:01:12
Eleonora Rossi Drago,Valentina,1962,3,L'amour à vingt ans,movie,Acting,9,25789,2022-09-03 17:01:12,2022-09-03 17:01:12
Nami Tamura,Fukimo,1962,3,L'amour à vingt ans,movie,Acting,10,1003230,2022-09-03 17:01:12,2022-09-03 17:01:12
Koji Furuhata,Hiroshi,1962,3,L'amour à vingt ans,movie,Acting,11,30906,2022-09-03 17:01:12,2022-09-03 17:01:12
Barbara Frey,Ursula,1962,3,L'amour à vingt ans,movie,Acting,12,37781,2022-09-03 17:01:12,2022-09-03 17:01:12
Christian Doermer,Tonio,1962,3,L'amour à vingt ans,movie,Acting,13,32934,2022-09-03 17:01:12,2022-09-03 17:01:12
Vera Tschechowa,,1962,3,L'amour à vingt ans,movie,Acting,14,51406,2022-09-03 17:01:12,2022-09-03 17:01:12
Werner Finck,,1962,3,L'amour à vingt ans,movie,Acting,15,39044,2022-09-03 17:01:12,2022-09-03 17:01:12
Barbara Lass,"Basia (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,16,10623,2022-09-03 17:01:12,2022-09-03 17:01:12
Zbigniew Cybulski,"Zbyszek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,17,40914,2022-09-03 17:01:12,2022-09-03 17:01:12
Władysław Kowalski,"Wladek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,18,17889,2022-09-03 17:01:12,2022-09-03 17:01:12
Damian Damięcki,"(segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,19,146878,2022-09-03 17:01:12,2022-09-03 17:01:12
Jan Englert,"Kelega Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,20,107633,2022-09-03 17:01:12,2022-09-03 17:01:12
Marian Opania,"Misiek (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,21,2825,2022-09-03 17:01:12,2022-09-03 17:01:12
Barbara Sołtysik,"Kolezanka Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,22,1191254,2022-09-03 17:01:12,2022-09-03 17:01:12
Jolanta Wołłejko,"Kolezanka Basi (segment ""Warszawa"")",1962,3,L'amour à vingt ans,movie,Acting,23,1157939,2022-09-03 17:01:12,2022-09-03 17:01:12
Catherine-Isabelle Duport,Young Girl at Concert (uncredited),1962,3,L'amour à vingt ans,movie,Acting,24,39068,2022-09-03 17:01:12,2022-09-03 17:01:12
Darren Berrecloth,Darren Berrecloth,2008,4,New World Disorder 9: Never Enough,movie,Acting,0,84130,2022-09-03 17:01:12,2022-09-03 17:01:12
Cameron McCaul,Cameron McCaul,2008,4,New World Disorder 9: Never Enough,movie,Acting,1,84143,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Basagoitia,Paul Basagoitia,2008,4,New World Disorder 9: Never Enough,movie,Acting,2,112801,2022-09-03 17:01:12,2022-09-03 17:01:12
Brandon Semenuk,Brandon Semenuk,2008,4,New World Disorder 9: Never Enough,movie,Acting,3,112818,2022-09-03 17:01:12,2022-09-03 17:01:12
Alex Pro,Alex Pro,2008,4,New World Disorder 9: Never Enough,movie,Acting,4,115965,2022-09-03 17:01:12,2022-09-03 17:01:12
Andreu Lacondeguy,Andreu Lacondeguy,2008,4,New World Disorder 9: Never Enough,movie,Acting,5,112793,2022-09-03 17:01:12,2022-09-03 17:01:12
Wayne Goss,Wayne Goss,2008,4,New World Disorder 9: Never Enough,movie,Acting,6,112794,2022-09-03 17:01:12,2022-09-03 17:01:12
Ben Boyko,Ben Boyko,2008,4,New World Disorder 9: Never Enough,movie,Acting,7,112798,2022-09-03 17:01:12,2022-09-03 17:01:12
Turo Pajala,Taisto Kasurinen,1988,6,Ariel,movie,Acting,0,54768,2022-09-03 17:01:12,2022-09-03 17:01:12
Susanna Haavisto,Irmeli Pihlaja,1988,6,Ariel,movie,Acting,1,54769,2022-09-03 17:01:12,2022-09-03 17:01:12
Matti Pellonpää,Mikkonen,1988,6,Ariel,movie,Acting,2,4826,2022-09-03 17:01:12,2022-09-03 17:01:12
Eetu Hilkamo,Riku,1988,6,Ariel,movie,Acting,3,54770,2022-09-03 17:01:12,2022-09-03 17:01:12
Erkki Pajala,Miner,1988,6,Ariel,movie,Acting,4,1177496,2022-09-03 17:01:12,2022-09-03 17:01:12
Matti Jaaranen,Mugger,1988,6,Ariel,movie,Acting,5,2493350,2022-09-03 17:01:12,2022-09-03 17:01:12
Hannu Viholainen,Accomplice,1988,6,Ariel,movie,Acting,6,2509142,2022-09-03 17:01:12,2022-09-03 17:01:12
Jorma Markkula,Tallyman,1988,6,Ariel,movie,Acting,7,110757,2022-09-03 17:01:12,2022-09-03 17:01:12
Tarja Keinänen,Woman in Harbour,1988,6,Ariel,movie,Acting,8,1034494,2022-09-03 17:01:12,2022-09-03 17:01:12
Eino Kuusela,Man on Beach,1988,6,Ariel,movie,Acting,9,2509144,2022-09-03 17:01:12,2022-09-03 17:01:12
Kauko Laalo,Night Hostel Manager,1988,6,Ariel,movie,Acting,10,1207858,2022-09-03 17:01:12,2022-09-03 17:01:12
Jyrki Olsonen,Man in Night Hostel,1988,6,Ariel,movie,Acting,11,2509145,2022-09-03 17:01:12,2022-09-03 17:01:12
Esko Nikkari,Car Dealer,1988,6,Ariel,movie,Acting,12,53508,2022-09-03 17:01:12,2022-09-03 17:01:12
Marja Packalén,Judge,1988,6,Ariel,movie,Acting,13,53512,2022-09-03 17:01:12,2022-09-03 17:01:12
Mikko Remes,Prison Doctor,1988,6,Ariel,movie,Acting,14,2509146,2022-09-03 17:01:12,2022-09-03 17:01:12
Tomi Salmela,Guard,1988,6,Ariel,movie,Acting,15,4829,2022-09-03 17:01:12,2022-09-03 17:01:12
Reijo Marin,Guard,1988,6,Ariel,movie,Acting,16,2509147,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Salomaa,Guard,1988,6,Ariel,movie,Acting,17,2509149,2022-09-03 17:01:12,2022-09-03 17:01:12
Veikko Uusimäki,Mayor,1988,6,Ariel,movie,Acting,18,1207842,2022-09-03 17:01:12,2022-09-03 17:01:12
Esko Salminen,Crook,1988,6,Ariel,movie,Acting,19,56273,2022-09-03 17:01:12,2022-09-03 17:01:12
Hannu Kivisalo,Doorman,1988,6,Ariel,movie,Acting,20,2509151,2022-09-03 17:01:12,2022-09-03 17:01:12
Pekka Wilen,Skipper,1988,6,Ariel,movie,Acting,21,2509152,2022-09-03 17:01:12,2022-09-03 17:01:12
Juuso Hirvikangas,Man in Harbour (uncredited),1988,6,Ariel,movie,Acting,22,110756,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Anttila,Man in Harbour (uncredited),1988,6,Ariel,movie,Acting,23,3416563,2022-09-03 17:01:12,2022-09-03 17:01:12
Jaakko Talaskivi,Cook (uncredited),1988,6,Ariel,movie,Acting,24,4831,2022-09-03 17:01:12,2022-09-03 17:01:12
Jouko Lumme,Cook (uncredited),1988,6,Ariel,movie,Sound,25,16772,2022-09-03 17:01:12,2022-09-03 17:01:12
Sirkka Rautiainen,Woman Watching TV (uncredited),1988,6,Ariel,movie,Production,26,1416993,2022-09-03 17:01:12,2022-09-03 17:01:12
Markku Rantala,Man in Tunnel (uncredited),1988,6,Ariel,movie,Acting,27,3480732,2022-09-03 17:01:12,2022-09-03 17:01:12
Mikko Lyytikäinen,Court Member (uncredited),1988,6,Ariel,movie,Acting,28,2289558,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Toikka,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,29,1948071,2022-09-03 17:01:12,2022-09-03 17:01:12
Hanna Jokinen,Woman in Courtroom (uncredited),1988,6,Ariel,movie,Acting,30,1207853,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Harakka,Man in Courtroom (uncredited),1988,6,Ariel,movie,Writing,31,2868528,2022-09-03 17:01:12,2022-09-03 17:01:12
Sami Lanki,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,32,999634,2022-09-03 17:01:12,2022-09-03 17:01:12
Kari Helaseppä,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,33,3083060,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Markko,Prisoner (uncredited),1988,6,Ariel,movie,Camera,34,1750241,2022-09-03 17:01:12,2022-09-03 17:01:12
Olli Varja,Prisoner (uncredited),1988,6,Ariel,movie,Lighting,35,1381113,2022-09-03 17:01:12,2022-09-03 17:01:12
Sakari Kuosmanen,Doorman (voice) (uncredited),1988,6,Ariel,movie,Acting,36,4828,2022-09-03 17:01:12,2022-09-03 17:01:12
Pentti Auer,Skipper (voice) (uncredited),1988,6,Ariel,movie,Acting,37,110763,2022-09-03 17:01:12,2022-09-03 17:01:12
Matti Pellonpää,Nikander,1986,7,Varjoja paratiisissa,movie,Acting,0,4826,2022-09-03 17:01:12,2022-09-03 17:01:12
Kati Outinen,Ilona Rajamäki,1986,7,Varjoja paratiisissa,movie,Acting,1,5999,2022-09-03 17:01:12,2022-09-03 17:01:12
Sakari Kuosmanen,Melartin,1986,7,Varjoja paratiisissa,movie,Acting,2,4828,2022-09-03 17:01:12,2022-09-03 17:01:12
Esko Nikkari,Nikander's Co-Worker,1986,7,Varjoja paratiisissa,movie,Acting,3,53508,2022-09-03 17:01:12,2022-09-03 17:01:12
Kylli Köngäs,Ilona's Friend,1986,7,Varjoja paratiisissa,movie,Acting,4,1086499,2022-09-03 17:01:12,2022-09-03 17:01:12
Pekka Laiho,Store Manager,1986,7,Varjoja paratiisissa,movie,Acting,5,222320,2022-09-03 17:01:12,2022-09-03 17:01:12
Jukka-Pekka Palo,Third Man,1986,7,Varjoja paratiisissa,movie,Acting,6,1086500,2022-09-03 17:01:12,2022-09-03 17:01:12
Svante Korkiakoski,Police Officer,1986,7,Varjoja paratiisissa,movie,Acting,7,2307211,2022-09-03 17:01:12,2022-09-03 17:01:12
Mari Rantasila,Nikander's Sister,1986,7,Varjoja paratiisissa,movie,Acting,8,148389,2022-09-03 17:01:12,2022-09-03 17:01:12
Safka Pekkonen,Pianist,1986,7,Varjoja paratiisissa,movie,Acting,9,1761924,2022-09-03 17:01:12,2022-09-03 17:01:12
Antti Ortamo,Pianist,1986,7,Varjoja paratiisissa,movie,Sound,10,2651471,2022-09-03 17:01:12,2022-09-03 17:01:12
Mato Valtonen,Pelle,1986,7,Varjoja paratiisissa,movie,Acting,11,106172,2022-09-03 17:01:12,2022-09-03 17:01:12
Sakke Järvenpää,Staffan,1986,7,Varjoja paratiisissa,movie,Acting,12,69552,2022-09-03 17:01:12,2022-09-03 17:01:12
Ulla Kuosmanen,Melartin's Wife,1986,7,Varjoja paratiisissa,movie,Acting,13,2651474,2022-09-03 17:01:12,2022-09-03 17:01:12
Neka Haapanen,Cook,1986,7,Varjoja paratiisissa,movie,Acting,14,1294421,2022-09-03 17:01:12,2022-09-03 17:01:12
Pentti Koski,Singer,1986,7,Varjoja paratiisissa,movie,Acting,15,2651478,2022-09-03 17:01:12,2022-09-03 17:01:12
Ari Korhonen,Man in Restaurant,1986,7,Varjoja paratiisissa,movie,Acting,16,2651481,2022-09-03 17:01:12,2022-09-03 17:01:12
Teuvo Rissanen,Police Officer,1986,7,Varjoja paratiisissa,movie,Acting,17,2651483,2022-09-03 17:01:12,2022-09-03 17:01:12
