movie_id,actor_id,cast_name,role_priority,created_at,updated_at
6,54770,Eetu Hilkamo,3,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1177496,Erkki Pajala,4,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2493350,Matti Jaaranen,5,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509142,Hannu Viholainen,6,2022-09-03 17:01:12,2022-09-03 17:01:12
6,110757,Jorma Markkula,7,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1034494,Tarja Keinänen,8,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509144,Eino Kuusela,9,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1207858,Kauko Laalo,10,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509145,Jyrki Olsonen,11,2022-09-03 17:01:12,2022-09-03 17:01:12
6,53508,Esko Nikkari,12,2022-09-03 17:01:12,2022-09-03 17:01:12
6,53512,Marja Packalén,13,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509146,Mikko Remes,14,2022-09-03 17:01:12,2022-09-03 17:01:12
6,4829,Tomi Salmela,15,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509147,Reijo Marin,16,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509149,Heikki Salomaa,17,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1207842,Veikko Uusimäki,18,2022-09-03 17:01:12,2022-09-03 17:01:12
6,56273,Esko Salminen,19,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509151,Hannu Kivisalo,20,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2509152,Pekka Wilen,21,2022-09-03 17:01:12,2022-09-03 17:01:12
6,110756,Juuso Hirvikangas,22,2022-09-03 17:01:12,2022-09-03 17:01:12
6,3416563,Heikki Anttila,23,2022-09-03 17:01:12,2022-09-03 17:01:12
6,4831,Jaakko Talaskivi,24,2022-09-03 17:01:12,2022-09-03 17:01:12
6,16772,Jouko Lumme,25,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1416993,Sirkka Rautiainen,26,2022-09-03 17:01:12,2022-09-03 17:01:12
6,3480732,Markku Rantala,27,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2289558,Mikko Lyytikäinen,28,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1948071,Timo Toikka,29,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1207853,Hanna Jokinen,30,2022-09-03 17:01:12,2022-09-03 17:01:12
6,2868528,Timo Harakka,31,2022-09-03 17:01:12,2022-09-03 17:01:12
6,999634,Sami Lanki,32,2022-09-03 17:01:12,2022-09-03 17:01:12
6,3083060,Kari Helaseppä,33,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1750241,Timo Markko,34,2022-09-03 17:01:12,2022-09-03 17:01:12
6,1381113,Olli Varja,35,2022-09-03 17:01:12,2022-09-03 17:01:12
6,4828,Sakari Kuosmanen,36,2022-09-03 17:01:12,2022-09-03 17:01:12
6,110763,Pentti Auer,37,2022-09-03 17:01:12,2022-09-03 17:01:12
7,4826,Matti Pellonpää,0,2022-09-03 17:01:12,2022-09-03 17:01:12
7,5999,Kati Outinen,1,2022-09-03 17:01:12,2022-09-03 17:01:12
7,4828,Sakari Kuosmanen,2,2022-09-03 17:01:12,2022-09-03 17:01:12
7,53508,Esko Nikkari,3,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1086499,Kylli Köngäs,4,2022-09-03 17:01:12,2022-09-03 17:01:12
7,222320,Pekka Laiho,5,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1086500,Jukka-Pekka Palo,6,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2307211,Svante Korkiakoski,7,2022-09-03 17:01:12,2022-09-03 17:01:12
7,148389,Mari Rantasila,8,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1761924,Safka Pekkonen,9,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651471,Antti Ortamo,10,2022-09-03 17:01:12,2022-09-03 17:01:12
7,106172,Mato Valtonen,11,2022-09-03 17:01:12,2022-09-03 17:01:12
7,69552,Sakke Järvenpää,12,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651474,Ulla Kuosmanen,13,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1294421,Neka Haapanen,14,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651478,Pentti Koski,15,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651481,Ari Korhonen,16,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651483,Teuvo Rissanen,17,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651486,Erkki Rissanen,18,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651487,Sirkka Silin,19,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651488,Marina Martinoff,20,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651489,Jussi Tiitinen,21,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651491,Riikka Kuosmanen,22,2022-09-03 17:01:12,2022-09-03 17:01:12
7,3457313,Eskil Mansikka,23,2022-09-03 17:01:12,2022-09-03 17:01:12
7,4831,Jaakko Talaskivi,24,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2159274,Haije Alanoja,25,2022-09-03 17:01:12,2022-09-03 17:01:12
7,3479164,Bertta Pellonpää,26,2022-09-03 17:01:12,2022-09-03 17:01:12
7,2651545,Helmeri Pellonpää,27,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1303969,Marja-Leena Hukkanen,28,2022-09-03 17:01:12,2022-09-03 17:01:12
7,16767,Aki Kaurismäki,29,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1381113,Olli Varja,30,2022-09-03 17:01:12,2022-09-03 17:01:12
7,3477088,Tanja Talaskivi,31,2022-09-03 17:01:12,2022-09-03 17:01:12
7,1912097,Jukka Mäkinen,32,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3129,Tim Roth,0,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3130,Jennifer Beals,1,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3131,Antonio Banderas,2,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3124,Valeria Golino,3,2022-09-03 17:01:12,2022-09-03 17:01:12
8,2555,David Proval,4,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3122,Sammi Davis,5,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3123,Amanda de Cadenet,6,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3125,Madonna,7,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3126,Ione Skye,8,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3127,Lili Taylor,9,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3128,Alicia Witt,10,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3134,Tamlyn Tomita,11,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3132,Lana McKissack,12,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3135,Danny Verduzco,13,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3133,Patricia Vonne,14,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3136,Salma Hayek,15,2022-09-03 17:01:12,2022-09-03 17:01:12
8,138,Quentin Tarantino,16,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3137,Paul Calderon,17,2022-09-03 17:01:12,2022-09-03 17:01:12
8,62,Bruce Willis,18,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3141,Marisa Tomei,19,2022-09-03 17:01:12,2022-09-03 17:01:12
8,2545,Lawrence Bender,20,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3138,Kathy Griffin,21,2022-09-03 17:01:12,2022-09-03 17:01:12
8,37336,Kimberly Blair,22,2022-09-03 17:01:12,2022-09-03 17:01:12
8,3140,Marc Lawrence,23,2022-09-03 17:01:12,2022-09-03 17:01:12
8,1207062,Paul Skemp,24,2022-09-03 17:01:12,2022-09-03 17:01:12
9,2880,Emilio Estevez,0,2022-09-03 17:01:12,2022-09-03 17:01:12
9,9777,Cuba Gooding Jr.,1,2022-09-03 17:01:12,2022-09-03 17:01:12
9,5724,Denis Leary,2,2022-09-03 17:01:12,2022-09-03 17:01:12
9,10822,Stephen Dorff,3,2022-09-03 17:01:12,2022-09-03 17:01:12
9,12799,Jeremy Piven,4,2022-09-03 17:01:12,2022-09-03 17:01:12
9,11803,Peter Greene,5,2022-09-03 17:01:12,2022-09-03 17:01:12
9,52422,Michael DeLorenzo,6,2022-09-03 17:01:12,2022-09-03 17:01:12
9,121667,Everlast,7,2022-09-03 17:01:12,2022-09-03 17:01:12
9,102710,Michael Wiseman,8,2022-09-03 17:01:12,2022-09-03 17:01:12
9,1077264,Relioues Webb,9,2022-09-03 17:01:12,2022-09-03 17:01:12
9,154124,Eugene Williams,10,2022-09-03 17:01:12,2022-09-03 17:01:12
9,55964,Christine Harnos,11,2022-09-03 17:01:12,2022-09-03 17:01:12
9,105988,Galyn Görg,12,2022-09-03 17:01:12,2022-09-03 17:01:12
9,22621,Angela Alvarado,13,2022-09-03 17:01:12,2022-09-03 17:01:12
9,1226696,Will Zahrn,14,2022-09-03 17:01:12,2022-09-03 17:01:12
11,901,Rita Lengyel,0,2022-09-03 17:01:12,2022-09-03 17:01:12
11,902,Milton Welsh,1,2022-09-03 17:01:12,2022-09-03 17:01:12
12,2,Mark Hamill,0,2022-09-03 17:01:12,2022-09-03 17:01:12
12,3,Harrison Ford,1,2022-09-03 17:01:12,2022-09-03 17:01:12
12,4,Carrie Fisher,2,2022-09-03 17:01:12,2022-09-03 17:01:12
12,5,Peter Cushing,3,2022-09-03 17:01:12,2022-09-03 17:01:12
12,12248,Alec Guinness,4,2022-09-03 17:01:12,2022-09-03 17:01:12
12,6,Anthony Daniels,5,2022-09-03 17:01:12,2022-09-03 17:01:12
12,130,Kenny Baker,6,2022-09-03 17:01:12,2022-09-03 17:01:12
12,24343,Peter Mayhew,7,2022-09-03 17:01:12,2022-09-03 17:01:12
12,24342,David Prowse,8,2022-09-03 17:01:12,2022-09-03 17:01:12
12,15152,James Earl Jones,9,2022-09-03 17:01:12,2022-09-03 17:01:12
12,33032,Phil Brown,10,2022-09-03 17:01:12,2022-09-03 17:01:12
12,131625,Shelagh Fraser,11,2022-09-03 17:01:12,2022-09-03 17:01:12
12,132538,Jack Purvis,12,2022-09-03 17:01:12,2022-09-03 17:01:12
12,216087,Alex McCrindle,13,2022-09-03 17:01:12,2022-09-03 17:01:12
12,69249,Eddie Byrne,14,2022-09-03 17:01:12,2022-09-03 17:01:12
12,47401,Drewe Henley,15,2022-09-03 17:01:12,2022-09-03 17:01:12
12,47698,Denis Lawson,16,2022-09-03 17:01:12,2022-09-03 17:01:12
12,17356,Garrick Hagon,17,2022-09-03 17:01:12,2022-09-03 17:01:12
12,162432,Jack Klaff,18,2022-09-03 17:01:12,2022-09-03 17:01:12
12,663,William Hootkins,19,2022-09-03 17:01:12,2022-09-03 17:01:12
12,58475,Angus MacInnes,20,2022-09-03 17:01:12,2022-09-03 17:01:12
12,151819,Jeremy Sinden,21,2022-09-03 17:01:12,2022-09-03 17:01:12
12,202276,Graham Ashley,22,2022-09-03 17:01:12,2022-09-03 17:01:12
12,42570,Don Henderson,23,2022-09-03 17:01:12,2022-09-03 17:01:12
12,12829,Richard LeParmentier,24,2022-09-03 17:01:12,2022-09-03 17:01:12
12,79489,Leslie Schofield,25,2022-09-03 17:01:12,2022-09-03 17:01:12
