name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Alex Pro,Alex Pro,2008,4,New World Disorder 9: Never Enough,movie,Acting,4,115965
Andreu Lacondeguy,Andreu Lacondeguy,2008,4,New World Disorder 9: Never Enough,movie,Acting,5,112793
Wayne Goss,Wayne Goss,2008,4,New World Disorder 9: Never Enough,movie,Acting,6,112794
Ben Boyko,Ben Boyko,2008,4,New World Disorder 9: Never Enough,movie,Acting,7,112798
Turo Pajala,Taisto Kasurinen,1988,6,Ariel,movie,Acting,0,54768
Susanna Haavisto,Irmeli Pihlaja,1988,6,Ariel,movie,Acting,1,54769
Matti Pellonpää,Mikkonen,1988,6,Ariel,movie,Acting,2,4826
Eetu Hilkamo,Riku,1988,6,Ariel,movie,Acting,3,54770
Erkki Pajala,Miner,1988,6,Ariel,movie,Acting,4,1177496
Matti Jaaranen,Mugger,1988,6,Ariel,movie,Acting,5,2493350
Hannu Viholainen,Accomplice,1988,6,Ariel,movie,Acting,6,2509142
Jorma Markkula,Tallyman,1988,6,Ariel,movie,Acting,7,110757
Tarja Keinänen,Woman in Harbour,1988,6,Ariel,movie,Acting,8,1034494
Eino Kuusela,Man on Beach,1988,6,Ariel,movie,Acting,9,2509144
Kauko Laalo,Night Hostel Manager,1988,6,Ariel,movie,Acting,10,1207858
Jyrki Olsonen,Man in Night Hostel,1988,6,Ariel,movie,Acting,11,2509145
Esko Nikkari,Car Dealer,1988,6,Ariel,movie,Acting,12,53508
Marja Packalén,Judge,1988,6,Ariel,movie,Acting,13,53512
Mikko Remes,Prison Doctor,1988,6,Ariel,movie,Acting,14,2509146
Tomi Salmela,Guard,1988,6,Ariel,movie,Acting,15,4829
Reijo Marin,Guard,1988,6,Ariel,movie,Acting,16,2509147
Heikki Salomaa,Guard,1988,6,Ariel,movie,Acting,17,2509149
Veikko Uusimäki,Mayor,1988,6,Ariel,movie,Acting,18,1207842
Esko Salminen,Crook,1988,6,Ariel,movie,Acting,19,56273
Hannu Kivisalo,Doorman,1988,6,Ariel,movie,Acting,20,2509151
Pekka Wilen,Skipper,1988,6,Ariel,movie,Acting,21,2509152
Juuso Hirvikangas,Man in Harbour (uncredited),1988,6,Ariel,movie,Acting,22,110756
Heikki Anttila,Man in Harbour (uncredited),1988,6,Ariel,movie,Acting,23,3416563
Jaakko Talaskivi,Cook (uncredited),1988,6,Ariel,movie,Acting,24,4831
Jouko Lumme,Cook (uncredited),1988,6,Ariel,movie,Sound,25,16772
Sirkka Rautiainen,Woman Watching TV (uncredited),1988,6,Ariel,movie,Production,26,1416993
Markku Rantala,Man in Tunnel (uncredited),1988,6,Ariel,movie,Acting,27,3480732
Mikko Lyytikäinen,Court Member (uncredited),1988,6,Ariel,movie,Acting,28,2289558
Timo Toikka,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,29,1948071
Hanna Jokinen,Woman in Courtroom (uncredited),1988,6,Ariel,movie,Acting,30,1207853
Timo Harakka,Man in Courtroom (uncredited),1988,6,Ariel,movie,Writing,31,2868528
Sami Lanki,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,32,999634
Kari Helaseppä,Man in Courtroom (uncredited),1988,6,Ariel,movie,Acting,33,3083060
Timo Markko,Prisoner (uncredited),1988,6,Ariel,movie,Camera,34,1750241
Olli Varja,Prisoner (uncredited),1988,6,Ariel,movie,Lighting,35,1381113
