movie_id,actor_id,cast_name,role_priority
8,3133,Patricia Vonne,14
8,3136,Salma Hayek,15
8,138,Quentin Tarantino,16
8,3137,Paul Calderon,17
8,62,Bruce Willis,18
8,3141,Marisa Tomei,19
8,2545,Lawrence Bender,20
8,3138,Kathy Griffin,21
8,37336,Kimberly Blair,22
8,3140,Marc Lawrence,23
8,1207062,Paul Skemp,24
9,2880,Emilio Estevez,0
9,9777,Cuba Gooding Jr.,1
9,5724,Denis Leary,2
9,10822,Stephen Dorff,3
9,12799,Jeremy Piven,4
9,11803,Peter Greene,5
9,52422,Michael DeLorenzo,6
9,121667,Everlast,7
9,102710,Michael Wiseman,8
9,1077264,Relioues Webb,9
9,154124,Eugene Williams,10
9,55964,Christine Harnos,11
9,105988,Galyn Görg,12
9,22621,Angela Alvarado,13
9,1226696,Will Zahrn,14
11,901,Rita Lengyel,0
11,902,Milton Welsh,1
12,2,Mark Hamill,0
12,3,Harrison Ford,1
12,4,Carrie Fisher,2
12,5,Peter Cushing,3
12,12248,Alec Guinness,4
12,6,Anthony Daniels,5
12,130,Kenny Baker,6
12,24343,Peter Mayhew,7
12,24342,David Prowse,8
12,15152,James Earl Jones,9
12,33032,Phil Brown,10
12,131625,Shelagh Fraser,11
12,132538,Jack Purvis,12
12,216087,Alex McCrindle,13
12,69249,Eddie Byrne,14
12,47401,Drewe Henley,15
12,47698,Denis Lawson,16
12,17356,Garrick Hagon,17
12,162432,Jack Klaff,18
12,663,William Hootkins,19
12,58475,Angus MacInnes,20
12,151819,Jeremy Sinden,21
12,202276,Graham Ashley,22
12,42570,Don Henderson,23
12,12829,Richard LeParmentier,24
12,79489,Leslie Schofield,25
12,1729623,Michael Leader,26
12,1216947,David Ankrum,27
12,3044,Scott Beach,28
12,1271059,Lightning Bear,29
12,1271060,Jon Berg,30
12,1271061,Doug Beswick,31
12,199356,Paul Blake,32
12,1271062,Janice Burchette,33
12,1271063,Ted Burnett,34
12,1271064,John Chapman,35
12,1271065,Gilda Cohen,36
12,1178140,Tim Condren,37
12,186229,Barry Copping,38
12,1271066,Alfie Curtis,39
12,1271067,Robert Davies,40
12,104149,Maria De Aragon,41
12,1271068,Robert A. Denham,42
12,1271069,Frazer Diamond,43
12,53587,Peter Diamond,44
12,1271070,Warwick Diamond,45
12,1271071,Sadie Eden,46
12,1271072,Kim Falkinburg,47
12,202402,Harry Fielder,48
12,1271073,Ted Gagliano,49
12,1271074,Salo Gardner,50
12,1195602,Steve Gawley,51
12,1271075,Barry Gnome,52
12,252527,Rusty Goffe,53
12,1271076,Isaac Grand,54
12,1271078,Reg Harding,55
12,964699,Alan Harris,56
12,1271079,Frank Henson,57
12,1271080,Christine Hewett,58
12,1271081,Arthur Howell,59
12,1271082,Tommy Ilsley,60
12,4945,Joe Johnston,61
12,1271083,Annette Jones,62
12,1148750,Linda Jones,63
12,201344,Joe Kaye,64
12,1271085,Colin Michael Kitchens,65
12,1271086,Melissa Kurtz,66
12,1190780,Tiffany Hillkurtz,67
12,190453,Al Lampert,68
12,1012562,Anthony Lang,69
12,1271091,Laine Liska,70
12,1271092,Derek Lyons,71
12,1271095,Mahjoub,72
12,1271096,Alf Mangan,73
12,1271102,Grant McCune,74
12,1271104,Geoffrey Moon,75
12,1271106,Mandy Morton,76
12,1271107,Lorne Peterson,77
12,1183443,Marcus Powell,78
12,10657,Shane Rimmer,79
12,1271116,Pam Rose,80
12,110319,George Roubicek,81
12,1271121,Erica Simmons,82
