name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Jukka Nykänen,1986,7,Varjoja paratiisissa,movie,Editing,Assistant Editor,94755
Juuso Hirvikangas,1986,7,Varjoja paratiisissa,movie,Sound,Sound Assistant,110756
Pauli Pentti,1986,7,Varjoja paratiisissa,movie,Directing,Assistant Director,1034489
Heikki Ukkonen,1986,7,Varjoja paratiisissa,movie,Production,Location Manager,1084612
Pertti Hilkamo,1986,7,Varjoja paratiisissa,movie,Art,Production Design,1084614
Marja-Leena Hukkanen,1986,7,Varjoja paratiisissa,movie,Camera,Still Photographer,1303969
Marja-Leena Hukkanen,1986,7,Varjoja paratiisissa,movie,Directing,Script Supervisor,1303969
Mikko Mattila,1986,7,Varjoja paratiisissa,movie,Lighting,Gaffer,1381112
Olli Varja,1986,7,Varjoja paratiisissa,movie,Lighting,Gaffer,1381113
Heikki Ortamo,1986,7,Varjoja paratiisissa,movie,Camera,Assistant Camera,1540906
Kjell Westman,1986,7,Varjoja paratiisissa,movie,Sound,Sound Re-Recording Mixer,1683985
Timo Markko,1986,7,Varjoja paratiisissa,movie,Camera,Assistant Camera,1750241
Leena Kouhia,1986,7,Varjoja paratiisissa,movie,Costume & Make-Up,Makeup Artist,1761858
Timo Nousiainen,1986,7,Varjoja paratiisissa,movie,Editing,Colorist,2159272
Haije Alanoja,1986,7,Varjoja paratiisissa,movie,Production,Production Secretary,2159274
Eila Karkkunen,1986,7,Varjoja paratiisissa,movie,Editing,Negative Cutter,3479190
Allison Anders,1995,8,Four Rooms,movie,Directing,Director,3110
Allison Anders,1995,8,Four Rooms,movie,Writing,Writer,3110
Alexandre Rockwell,1995,8,Four Rooms,movie,Directing,Director,3111
Alexandre Rockwell,1995,8,Four Rooms,movie,Production,Executive Producer,3111
Alexandre Rockwell,1995,8,Four Rooms,movie,Writing,Writer,3111
Robert Rodriguez,1995,8,Four Rooms,movie,Directing,Director,2294
Robert Rodriguez,1995,8,Four Rooms,movie,Editing,Editor,2294
Robert Rodriguez,1995,8,Four Rooms,movie,Writing,Writer,2294
Quentin Tarantino,1995,8,Four Rooms,movie,Directing,Director,138
Quentin Tarantino,1995,8,Four Rooms,movie,Production,Executive Producer,138
Quentin Tarantino,1995,8,Four Rooms,movie,Writing,Writer,138
Combustible Edison,1995,8,Four Rooms,movie,Sound,Original Music Composer,3116
Gary Frutkoff,1995,8,Four Rooms,movie,Art,Production Design,3117
Lance Brown,1995,8,Four Rooms,movie,Sound,Sound Designer,3119
Lawrence Bender,1995,8,Four Rooms,movie,Production,Producer,2545
Heidi Vogel,1995,8,Four Rooms,movie,Production,Co-Producer,37333
Paul Hellerman,1995,8,Four Rooms,movie,Production,Production Manager,37334
Paul Hellerman,1995,8,Four Rooms,movie,Production,Co-Producer,37334
Scott Lambert,1995,8,Four Rooms,movie,Production,Co-Producer,37335
Russell Gray,1995,8,Four Rooms,movie,Production,Casting,3118
Mayne Berke,1995,8,Four Rooms,movie,Art,Art Direction,11423
Sara Andrews,1995,8,Four Rooms,movie,Art,Set Decoration,9042
Sally Menke,1995,8,Four Rooms,movie,Editing,Editor,156
Guillermo Navarro,1995,8,Four Rooms,movie,Camera,Director of Photography,3113
Mark Mothersbaugh,1995,8,Four Rooms,movie,Sound,Music Producer,5666
Andrzej Sekula,1995,8,Four Rooms,movie,Camera,Director of Photography,3115
Karyn Rachtman,1995,8,Four Rooms,movie,Sound,Music Supervisor,6940
Elena Maganini,1995,8,Four Rooms,movie,Editing,Editor,3121
Phil Parmet,1995,8,Four Rooms,movie,Camera,Director of Photography,3114
Randi Hiller,1995,8,Four Rooms,movie,Production,Casting Associate,20540
Wayne Fitzgerald,1995,8,Four Rooms,movie,Art,Title Designer,81538
Mary Claire Hannan,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Design,46589
Jonathan Brown,1995,8,Four Rooms,movie,Camera,Steadicam Operator,56791
Susan L. Bertram,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Design,62277
Erik C. Andersen,1995,8,Four Rooms,movie,Editing,First Assistant Editor,64315
Debbie Hayn-Cass,1995,8,Four Rooms,movie,Production,Unit Production Manager,64744
Debbie Hayn-Cass,1995,8,Four Rooms,movie,Production,Production Supervisor,64744
Douglas Aarniokoski,1995,8,Four Rooms,movie,Directing,First Assistant Director,71901
Rodrigo García,1995,8,Four Rooms,movie,Camera,Director of Photography,77162
Jay Nierenberg,1995,8,Four Rooms,movie,Sound,Sound Editor,80824
Chuck Jones,1995,8,Four Rooms,movie,Crew,Creative Consultant,100888
Ermahn Ospina,1995,8,Four Rooms,movie,Costume & Make-Up,Key Hair Stylist,144146
Ziad Doueiri,1995,8,Four Rooms,movie,Camera,First Assistant Camera,148455
Barbara Harris,1995,8,Four Rooms,movie,Production,ADR Voice Casting,230436
Tiffanie DeBartolo,1995,8,Four Rooms,movie,Crew,Intern,1031288
Margaret Goodspeed,1995,8,Four Rooms,movie,Editing,Editor,1041072
Toni G,1995,8,Four Rooms,movie,Costume & Make-Up,Assistant Makeup Artist,1069714
Fernando Altschul,1995,8,Four Rooms,movie,Directing,First Assistant Director,1120536
Ray Maxwell,1995,8,Four Rooms,movie,Art,Construction Foreman,1341806
Jayne-Ann Tenggren,1995,8,Four Rooms,movie,Directing,Script Supervisor,1342669
Tim Tuchrello,1995,8,Four Rooms,movie,Sound,First Assistant Sound Editor,1357671
Brian Markey,1995,8,Four Rooms,movie,Art,Construction Coordinator,1395016
Robert Earl Craft,1995,8,Four Rooms,movie,Production,Location Manager,1401374
Dawn Todd Curfman,1995,8,Four Rooms,movie,Production,Post Production Coordinator,1402054
Zack Davis,1995,8,Four Rooms,movie,Sound,ADR Editor,1404841
Becky Sullivan,1995,8,Four Rooms,movie,Sound,Supervising ADR Editor,1404903
Pawel Wdowczak,1995,8,Four Rooms,movie,Sound,Production Sound Mixer,1410954
Glenn Hoskinson,1995,8,Four Rooms,movie,Sound,Sound Effects Editor,1412227
Thom 'Coach' Ehle,1995,8,Four Rooms,movie,Sound,Dolby Consultant,1412242
Denise Okimoto,1995,8,Four Rooms,movie,Sound,Music Editor,1415642
P. Gerald Knight,1995,8,Four Rooms,movie,Crew,Transportation Coordinator,1419160
Bruce Fortune,1995,8,Four Rooms,movie,Sound,Supervising Sound Editor,1438571
Kyle Oliver,1995,8,Four Rooms,movie,Production,Location Assistant,1505354
Jacqueline Aronson,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Supervisor,1547239
Lynda Reiss,1995,8,Four Rooms,movie,Art,Property Master,1552012
Victor Iorillo,1995,8,Four Rooms,movie,Crew,Special Sound Effects,1552088
Marisol Jiménez,1995,8,Four Rooms,movie,Art,Art Department Coordinator,1556697
Mike Stanwick,1995,8,Four Rooms,movie,Editing,Color Timer,1564233
Edgar Arellano,1995,8,Four Rooms,movie,Lighting,Best Boy Electric,1601800
Paul Taglianetti,1995,8,Four Rooms,movie,Crew,Special Effects Coordinator,1602889
Nancy Willen,1995,8,Four Rooms,movie,Crew,Unit Publicist,1622121
Mynka Draper,1995,8,Four Rooms,movie,Costume & Make-Up,Costumer,1652417
Brian Bettwy,1995,8,Four Rooms,movie,Directing,Second Assistant Director,1685556
Darrell Dubovsky,1995,8,Four Rooms,movie,Crew,Driver,1686379
Paul Koronkiewicz,1995,8,Four Rooms,movie,Sound,Boom Operator,1695796
Rick Stribling,1995,8,Four Rooms,movie,Camera,Key Grip,1708344
Orlando,1995,8,Four Rooms,movie,Costume & Make-Up,Hairstylist,1745153
Bjørn Eivind Aarskog,1995,8,Four Rooms,movie,Camera,Second Assistant Camera,1841033
James C. Beeson,1995,8,Four Rooms,movie,Crew,Carpenter,1851724
Carlos A. Chavez,1995,8,Four Rooms,movie,Art,Painter,1851725
Marc Gillson,1995,8,Four Rooms,movie,Art,Lead Painter,1877352
T.D. Donnelly,1995,8,Four Rooms,movie,Art,Standby Painter,1877353
Elizabeth Bolden,1995,8,Four Rooms,movie,Camera,Grip,1877355
Thomas G. Marquez,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Supervisor,1877356
Paul Starr,1995,8,Four Rooms,movie,Costume & Make-Up,Makeup Artist,1877357
Sissy Boyd,1995,8,Four Rooms,movie,Crew,Choreographer,1877359
Derek Hurd,1995,8,Four Rooms,movie,Crew,Craft Service,1877360
Ben Parker,1995,8,Four Rooms,movie,Crew,Post Production Assistant,1877361
